,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
352,id5309,Cephalopod ink is by octopuses to, C,1.0,7, C,1.0,7,C,1.0,7, C,1.0,7, D,0.0,7, C,1.0,7, C,1.0,7,C,1.0,7,B,0.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, B,0.0,7,C,1.0,7, B,0.0,7, C,1.0,7,C,1.0,7,C,1.0,7,0.3457459036417604,Low
252,id5209,What are iron nails made out of?, C,1.0,8, C,1.0,8,C,1.0,8, C,1.0,8, C,1.0,8, C,1.0,8, C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8, C,1.0,8, C,1.0,8, B,0.0,8, C,1.0,8,C,1.0,8, D,0.0,8, C,1.0,8, C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8, B,0.0,8,C,1.0,8, B,0.0,8, C,1.0,8,C,1.0,8,C,1.0,8,0.3457459036417604,Low
251,id5208,Sources of air pollution are, B,1.0,6, B,1.0,6,B,1.0,6, B,1.0,6, B,1.0,6, B,1.0,6, B,1.0,6,B,1.0,6,A,0.0,6,B,1.0,6,B,1.0,6,B,1.0,6,B,1.0,6, B,1.0,6, B,1.0,6, B,1.0,6, B,1.0,6,D,0.0,6, B,1.0,6, B,1.0,6, B,1.0,6,B,1.0,6,B,1.0,6,B,1.0,6, A,0.0,6,B,1.0,6, C,0.0,6, B,1.0,6,B,1.0,6,B,1.0,6,0.3457459036417604,Low
362,id5319,"In order for your computer to operate, it must have an electrical path that is what?", B,1.0,17, B,1.0,17,B,1.0,17, B,1.0,17, B,1.0,17, B,1.0,17, B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17, B,1.0,17, D,0.0,17, B,1.0,17, B,1.0,17,B,1.0,17, A,0.0,17, B,1.0,17, B,1.0,17,B,1.0,17,B,1.0,17,B,1.0,17, B,1.0,17,B,1.0,17, D,0.0,17, B,1.0,17,B,1.0,17,D,0.0,17,0.3457459036417604,Low
238,id5195,Scraping an object, C,1.0,4, C,1.0,4,C,1.0,4, C,1.0,4, C,1.0,4, C,1.0,4, C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4, C,1.0,4, C,1.0,4, D,0.0,4, C,1.0,4,C,1.0,4, A,0.0,4, C,1.0,4, C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4, B,0.0,4,C,1.0,4, D,0.0,4, C,1.0,4,C,1.0,4,C,1.0,4,0.3457459036417604,Low
220,id5177,Roasting a turkey requires adding what type of energy, A,1.0,10, A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10, C,0.0,10, A,1.0,10,A,1.0,10, B,0.0,10, A,1.0,10, A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10, B,0.0,10,A,1.0,10, D,0.0,10, A,1.0,10,A,1.0,10,A,1.0,10,0.3457459036417604,Low
215,id5172,"A person is considering various organs, and is looking at which ones will be most muscular. A contender for most muscular is", C,1.0,23, C,1.0,23,C,1.0,23, C,1.0,23, D,0.0,23, C,1.0,23, C,1.0,23,C,1.0,23,C,1.0,23,C,1.0,23,C,1.0,23,C,1.0,23,C,1.0,23, C,1.0,23, C,1.0,23, B,0.0,23, C,1.0,23,C,1.0,23, C,1.0,23, C,1.0,23, C,1.0,23,C,1.0,23,C,1.0,23,C,1.0,23, B,0.0,23,C,1.0,23, B,0.0,23, C,1.0,23,C,1.0,23,C,1.0,23,0.3457459036417604,Low
396,id5353,"If a grizzly bear eats a salmon, what is the grizzly bear demonstrating?", A,1.0,14, A,1.0,14,A,1.0,14, A,1.0,14, D,0.0,14, A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14,A,1.0,14, B,0.0,14, A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, B,0.0,14,A,1.0,14, B,0.0,14, A,1.0,14,A,1.0,14,A,1.0,14,0.3457459036417604,Low
207,id5164,Resources decreasing in an environment, D,1.0,6, D,1.0,6,D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6, D,1.0,6, D,1.0,6, B,0.0,6, D,1.0,6,D,1.0,6, A,0.0,6, D,1.0,6, D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6, B,0.0,6,D,1.0,6, A,0.0,6, D,1.0,6,D,1.0,6,D,1.0,6,0.3457459036417604,Low
427,id5384,A wedge requires, C,1.0,4, C,1.0,4,C,1.0,4, C,1.0,4, D,0.0,4, C,1.0,4, C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4, C,1.0,4, C,1.0,4, D,0.0,4, C,1.0,4,C,1.0,4, C,1.0,4, C,1.0,4, C,1.0,4,C,1.0,4,C,1.0,4,C,1.0,4, B,0.0,4,C,1.0,4, A,0.0,4, C,1.0,4,C,1.0,4,C,1.0,4,0.3457459036417604,Low
437,id5394,Camouflage is when an organism does what?, A,1.0,8, A,1.0,8,A,1.0,8, A,1.0,8, B,0.0,8, A,1.0,8, A,1.0,8,A,1.0,8,A,1.0,8,A,1.0,8,A,1.0,8,A,1.0,8,A,1.0,8, A,1.0,8, A,1.0,8, B,0.0,8, A,1.0,8,A,1.0,8, A,1.0,8, A,1.0,8, A,1.0,8,A,1.0,8,A,1.0,8,A,1.0,8, B,0.0,8,A,1.0,8, C,0.0,8, A,1.0,8,A,1.0,8,A,1.0,8,0.3457459036417604,Low
444,id5401,"Carbohydrates are made of sugar, which means that a diabetic would need to exhibit care in consuming", D,1.0,18, D,1.0,18,D,1.0,18, D,1.0,18, D,1.0,18, D,1.0,18, D,1.0,18,D,1.0,18,B,0.0,18,D,1.0,18,D,1.0,18,D,1.0,18,D,1.0,18, D,1.0,18, D,1.0,18, D,1.0,18, D,1.0,18,D,1.0,18, B,0.0,18, D,1.0,18, D,1.0,18,D,1.0,18,D,1.0,18,D,1.0,18, B,0.0,18,D,1.0,18, B,0.0,18, D,1.0,18,D,1.0,18,D,1.0,18,0.3457459036417604,Low
188,id5145,Wind frequently helps transport from one place to another, D,1.0,10, D,1.0,10,D,1.0,10, D,1.0,10, D,1.0,10, D,1.0,10, D,1.0,10,D,1.0,10,D,1.0,10,D,1.0,10,D,1.0,10,D,1.0,10,D,1.0,10, D,1.0,10, D,1.0,10, B,0.0,10, D,1.0,10,D,1.0,10, D,1.0,10, D,1.0,10, D,1.0,10,D,1.0,10,D,1.0,10,D,1.0,10, B,0.0,10,B,0.0,10, C,0.0,10, D,1.0,10,D,1.0,10,D,1.0,10,0.3457459036417604,Low
454,id5411,The dam was put under much more stress after the, B,1.0,11, B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, C,0.0,11, B,1.0,11,B,1.0,11, A,0.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11,C,0.0,11, A,0.0,11, B,1.0,11,B,1.0,11,B,1.0,11,0.3457459036417604,Low
187,id5144,As a drought worsens the level at an aquifer will, C,1.0,11, C,1.0,11,C,1.0,11, C,1.0,11, C,1.0,11, C,1.0,11, C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11, C,1.0,11, C,1.0,11, D,0.0,11, C,1.0,11,C,1.0,11, B,0.0,11, C,1.0,11, C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11, B,0.0,11,C,1.0,11, D,0.0,11, C,1.0,11,C,1.0,11,C,1.0,11,0.3457459036417604,Low
461,id5418,A sousaphone, C,1.0,3, C,1.0,3,C,1.0,3, C,1.0,3, D,0.0,3, C,1.0,3, C,1.0,3,C,1.0,3,C,1.0,3,C,1.0,3,C,1.0,3,C,1.0,3,C,1.0,3, C,1.0,3, C,1.0,3, D,0.0,3, C,1.0,3,C,1.0,3, C,1.0,3, C,1.0,3, C,1.0,3,C,1.0,3,C,1.0,3,C,1.0,3, B,0.0,3,C,1.0,3, A,0.0,3, C,1.0,3,C,1.0,3,C,1.0,3,0.3457459036417604,Low
403,id5360,Coal-fire power stations heat coal to incredible temps in order to, A,1.0,12, A,1.0,12,A,1.0,12, A,1.0,12, B,0.0,12, A,1.0,12, A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12, A,1.0,12, A,1.0,12, B,0.0,12, A,1.0,12,A,1.0,12, A,1.0,12, A,1.0,12, A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12, B,0.0,12,A,1.0,12, B,0.0,12, A,1.0,12,A,1.0,12,A,1.0,12,0.3457459036417604,Low
249,id5206,"A company makes notebooks for college courses, so their main material is", D,1.0,13, D,1.0,13,D,1.0,13, D,1.0,13, D,1.0,13, D,1.0,13, D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13, D,1.0,13, D,1.0,13, B,0.0,13, D,1.0,13,D,1.0,13, A,0.0,13, D,1.0,13, D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13, B,0.0,13,D,1.0,13, A,0.0,13, D,1.0,13,D,1.0,13,D,1.0,13,0.3457459036417604,Low
86,id5043,Beak shape can influence a bird's ability, D,1.0,8, D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, C,0.0,8, D,1.0,8,D,1.0,8, B,0.0,8, D,1.0,8, D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, B,0.0,8,D,1.0,8, B,0.0,8, D,1.0,8,D,1.0,8,D,1.0,8,0.3457459036417604,Low
81,id5038,are explosions safe?, A,1.0,4, A,1.0,4,A,1.0,4, A,1.0,4, B,0.0,4, A,1.0,4, A,1.0,4,A,1.0,4,A,1.0,4,A,1.0,4,A,1.0,4,A,1.0,4,A,1.0,4, A,1.0,4, A,1.0,4, C,0.0,4, A,1.0,4,A,1.0,4, A,1.0,4, A,1.0,4, A,1.0,4,A,1.0,4,A,1.0,4,A,1.0,4, A,1.0,4,A,1.0,4, B,0.0,4, D,0.0,4,A,1.0,4,A,1.0,4,0.3457459036417604,Low
49,id5006,"When the eggs hatch, the offspring are", C,1.0,8, C,1.0,8,C,1.0,8, C,1.0,8, B,0.0,8, C,1.0,8, C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8, C,1.0,8, C,1.0,8, C,1.0,8, C,1.0,8,C,1.0,8, D,0.0,8, C,1.0,8, C,1.0,8,C,1.0,8,C,1.0,8,C,1.0,8, B,0.0,8,C,1.0,8, A,0.0,8, C,1.0,8,C,1.0,8,C,1.0,8,0.3457459036417604,Low
93,id5050,"When looking for good soil for plants, typically what is optimal?", A,1.0,12, A,1.0,12,A,1.0,12, B,0.0,12, A,1.0,12, A,1.0,12, A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12, A,1.0,12, A,1.0,12, A,1.0,12, A,1.0,12,A,1.0,12, B,0.0,12, A,1.0,12, A,1.0,12,A,1.0,12,A,1.0,12,A,1.0,12, B,0.0,12,A,1.0,12, D,0.0,12, A,1.0,12,A,1.0,12,A,1.0,12,0.3457459036417604,Low
88,id5045,December 21st through March 20 is a three month period which is an example of what?, C,1.0,17, C,1.0,17,C,1.0,17, C,1.0,17, C,1.0,17, C,1.0,17, C,1.0,17,C,1.0,17,C,1.0,17,C,1.0,17,C,1.0,17,C,1.0,17,C,1.0,17, C,1.0,17, C,1.0,17, B,0.0,17, C,1.0,17,C,1.0,17, D,0.0,17, C,1.0,17, C,1.0,17,C,1.0,17,C,1.0,17,C,1.0,17, B,0.0,17,C,1.0,17, A,0.0,17, C,1.0,17,C,1.0,17,C,1.0,17,0.3457459036417604,Low
27,id4984,what system is needed for a body to get its needed supply of the gas humans breathe in?, A,1.0,19, A,1.0,19,A,1.0,19, D,0.0,19, D,0.0,19, A,1.0,19, A,1.0,19,A,1.0,19,A,1.0,19,A,1.0,19,A,1.0,19,A,1.0,19,A,1.0,19, A,1.0,19, A,1.0,19, A,1.0,19, A,1.0,19,A,1.0,19, C,0.0,19, A,1.0,19, A,1.0,19,A,1.0,19,A,1.0,19,A,1.0,19, B,0.0,19,A,1.0,19, A,1.0,19, A,1.0,19,A,1.0,19,A,1.0,19,0.3457459036417604,Low
132,id5089,A desert environment is, C,1.0,5, C,1.0,5,C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5, C,1.0,5, C,1.0,5, D,0.0,5, C,1.0,5,C,1.0,5, A,0.0,5, C,1.0,5, C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5, B,0.0,5,C,1.0,5, D,0.0,5, C,1.0,5,C,1.0,5,C,1.0,5,0.3457459036417604,Low
97,id5054,Crop rotation has a positive impact on what?, B,1.0,9, B,1.0,9,B,1.0,9, B,1.0,9, C,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9, C,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9, C,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9,B,1.0,9, A,0.0,9, B,1.0,9,B,1.0,9,B,1.0,9,0.34574590364176044,Low
414,id5371,cellular respiration is when energy is produced in a cell by consumption of, B,1.0,14, B,1.0,14,B,1.0,14, B,1.0,14, C,0.0,14, B,1.0,14, B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14, B,1.0,14, B,1.0,14, B,1.0,14, B,1.0,14,B,1.0,14, A,0.0,14, B,1.0,14, D,0.0,14,B,1.0,14,B,1.0,14,B,1.0,14, B,1.0,14,B,1.0,14, A,0.0,14, B,1.0,14,B,1.0,14,B,1.0,14,0.34574590364176044,Low
174,id5131,"A woman notices that she is depressed every autumn, and wonders why. A friend suggests to her that perhaps certain changes that take place as seasons move from warm to cold may be having an effect on her. When pressed for an example of these changes, the friend cites", B,1.0,50, B,1.0,50,B,1.0,50, B,1.0,50, C,0.0,50, B,1.0,50, B,1.0,50,B,1.0,50,D,0.0,50,B,1.0,50,B,1.0,50,B,1.0,50,B,1.0,50, B,1.0,50, B,1.0,50, B,1.0,50, B,1.0,50,B,1.0,50, C,0.0,50, B,1.0,50, B,1.0,50,B,1.0,50,B,1.0,50,B,1.0,50, B,1.0,50,B,1.0,50, A,0.0,50, B,1.0,50,B,1.0,50,B,1.0,50,0.34574590364176044,Low
78,id5035,Which substance is capable of dripping?, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, D,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,D,0.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, D,0.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, C,0.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.3457459036417605,Low
276,id5233,"I chipped away at a toy doll and the surface became really rough, when I rub it against a piece of wood that will create an increase in", B,1.0,29, B,1.0,29,B,1.0,29, B,1.0,29, B,1.0,29, B,1.0,29, B,1.0,29,B,1.0,29,C,0.0,29,B,1.0,29,B,1.0,29,B,1.0,29,B,1.0,29, B,1.0,29, B,1.0,29, D,0.0,29, B,1.0,29,B,1.0,29, C,0.0,29, B,1.0,29, B,1.0,29,B,1.0,29,B,1.0,29,B,1.0,29, B,1.0,29,B,1.0,29, A,0.0,29, B,1.0,29,B,1.0,29,B,1.0,29,0.3457459036417605,Low
274,id5231,In which location would a groundhog hide from a wolf?, D,1.0,11, D,1.0,11,D,1.0,11, D,1.0,11, C,0.0,11, D,1.0,11, D,1.0,11,D,1.0,11,D,1.0,11,D,1.0,11,D,1.0,11,D,1.0,11,D,1.0,11, D,1.0,11, D,1.0,11, B,0.0,11, D,1.0,11,D,1.0,11, A,0.0,11, D,1.0,11, D,1.0,11,D,1.0,11,D,1.0,11,D,1.0,11, B,0.0,11,D,1.0,11, D,1.0,11, D,1.0,11,D,1.0,11,D,1.0,11,0.3457459036417605,Low
7,id4964,The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?, B,1.0,20, B,1.0,20,B,1.0,20, B,1.0,20, B,1.0,20, D,0.0,20, B,1.0,20,B,1.0,20,B,1.0,20,B,1.0,20,B,1.0,20,B,1.0,20,B,1.0,20, B,1.0,20, B,1.0,20, D,0.0,20, B,1.0,20,B,1.0,20, A,0.0,20, B,1.0,20, B,1.0,20,B,1.0,20,B,1.0,20,B,1.0,20, B,1.0,20,B,1.0,20, A,0.0,20, B,1.0,20,B,1.0,20,B,1.0,20,0.3457459036417605,Low
263,id5220,Which of the following is not an input in photosynthesis?, B,1.0,11, B,1.0,11,B,1.0,11, B,1.0,11, D,0.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, C,0.0,11, B,1.0,11,B,1.0,11, C,0.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11,B,1.0,11, C,0.0,11, B,1.0,11,B,1.0,11,B,1.0,11,0.3457459036417605,Low
381,id5338,the night sky shows very far away what, A,1.0,9, A,1.0,9,A,1.0,9, A,1.0,9, C,0.0,9, A,1.0,9, A,1.0,9,A,1.0,9,A,1.0,9,A,1.0,9,A,1.0,9,A,1.0,9,A,1.0,9, A,1.0,9, A,1.0,9, B,0.0,9, A,1.0,9,A,1.0,9, B,0.0,9, A,1.0,9, A,1.0,9,A,1.0,9,A,1.0,9,A,1.0,9, B,0.0,9,A,1.0,9, A,1.0,9, A,1.0,9,A,1.0,9,A,1.0,9,0.3457459036417605,Low
193,id5150,Erosion could lead to, A,1.0,5, A,1.0,5,A,1.0,5, A,1.0,5, D,0.0,5, A,1.0,5, A,1.0,5,A,1.0,5,D,0.0,5,A,1.0,5,A,1.0,5,A,1.0,5,A,1.0,5, A,1.0,5, A,1.0,5, B,0.0,5, A,1.0,5,A,1.0,5, A,1.0,5, A,1.0,5, A,1.0,5,A,1.0,5,A,1.0,5,A,1.0,5, B,0.0,5,A,1.0,5, A,1.0,5, A,1.0,5,A,1.0,5,A,1.0,5,0.3457459036417605,Low
118,id5075,How could we determine approximately how far a bird is from the ground?, A,1.0,14, A,1.0,14,A,1.0,14, A,1.0,14, D,0.0,14, A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, A,1.0,14, A,1.0,14, B,0.0,14, A,1.0,14,A,1.0,14, D,0.0,14, A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, B,0.0,14,A,1.0,14, A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,0.3457459036417605,Low
15,id4972,"As gasoline costs rise, alternative fuels are being used, which means that", D,1.0,13, D,1.0,13,D,1.0,13, D,1.0,13, B,0.0,13, D,1.0,13, D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13, D,1.0,13, D,1.0,13, A,0.0,13, D,1.0,13,D,1.0,13, B,0.0,13, D,1.0,13, D,1.0,13,D,1.0,13,D,1.0,13,D,1.0,13, B,0.0,13,D,1.0,13, D,1.0,13, D,1.0,13,D,1.0,13,D,1.0,13,0.3457459036417605,Low
101,id5058,Which animal is considered a predator?, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, C,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, D,0.0,7, B,1.0,7,B,1.0,7, C,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, A,0.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.3457459036417605,Low
205,id5162,"There are various creatures that live in forests, such as", C,1.0,11, C,1.0,11,C,1.0,11, C,1.0,11, C,1.0,11, C,1.0,11, C,1.0,11,C,1.0,11,D,0.0,11,C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11, C,1.0,11, C,1.0,11, A,0.0,11, C,1.0,11,C,1.0,11, B,0.0,11, C,1.0,11, C,1.0,11,C,1.0,11,C,1.0,11,C,1.0,11, B,0.0,11,C,1.0,11, C,1.0,11, C,1.0,11,C,1.0,11,C,1.0,11,0.3457459036417605,Low
83,id5040,What is the benefit to using a frosted window film over a non treated windows?, B,1.0,16, B,1.0,16,B,1.0,16, B,1.0,16, D,0.0,16, B,1.0,16, B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16, B,1.0,16, B,1.0,16, B,1.0,16, B,1.0,16,D,0.0,16, D,0.0,16, B,1.0,16, B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16, B,1.0,16,B,1.0,16, D,0.0,16, B,1.0,16,B,1.0,16,B,1.0,16,0.3457459036417605,Low
489,id5446,"Photosynthesis does what by converting carbon dioxide, water, and sunlight into carbohydrates?", B,1.0,13, B,1.0,13,B,1.0,13, B,1.0,13, C,0.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, D,0.0,13, B,1.0,13,B,1.0,13, D,0.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13,B,1.0,13, C,0.0,13, B,1.0,13,B,1.0,13,B,1.0,13,0.3457459036417605,Low
488,id5445,A dog is more likely to shiver at, B,1.0,9, B,1.0,9,B,1.0,9, B,1.0,9, D,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9, B,1.0,9, C,0.0,9, B,1.0,9,B,1.0,9, A,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9,B,1.0,9, C,0.0,9, B,1.0,9,B,1.0,9,B,1.0,9,0.3457459036417605,Low
189,id5146,When a kid slams on the brakes on their bike what is caused?, C,1.0,14, C,1.0,14,C,1.0,14, C,1.0,14, B,0.0,14, C,1.0,14, C,1.0,14,C,1.0,14,C,1.0,14,C,1.0,14,C,1.0,14,C,1.0,14,C,1.0,14, C,1.0,14, C,1.0,14, B,0.0,14, C,1.0,14,C,1.0,14, B,0.0,14, C,1.0,14, C,1.0,14,C,1.0,14,C,1.0,14,C,1.0,14, B,0.0,14,C,1.0,14, C,1.0,14, C,1.0,14,C,1.0,14,C,1.0,14,0.3457459036417605,Low
338,id5295,"When trying to find fresh clams for dinner, a hungry person would don", B,1.0,14, B,1.0,14,B,1.0,14, B,1.0,14, C,0.0,14, B,1.0,14, B,1.0,14,B,1.0,14,C,0.0,14,B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14, B,1.0,14, B,1.0,14, C,0.0,14, B,1.0,14,B,1.0,14, B,1.0,14, B,1.0,14, B,1.0,14,B,1.0,14,B,1.0,14,B,1.0,14, B,1.0,14,B,1.0,14, C,0.0,14, B,1.0,14,B,1.0,14,B,1.0,14,0.3457459036417605,Low
413,id5370,Quartz crystals are made up of, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, C,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, C,0.0,7, B,1.0,7,B,1.0,7, D,0.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, A,0.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.3457459036417605,Low
493,id5450,The Grand Canyon was formed by, B,0.0,7, B,0.0,7,B,0.0,7, B,0.0,7, C,1.0,7, B,0.0,7, B,0.0,7,B,0.0,7,B,0.0,7,B,0.0,7,B,0.0,7,B,0.0,7,C,1.0,7, B,0.0,7, C,1.0,7, B,0.0,7, B,0.0,7,B,0.0,7, D,0.0,7, B,0.0,7, B,0.0,7,B,0.0,7,B,0.0,7,B,0.0,7, B,0.0,7,B,0.0,7, C,1.0,7, B,0.0,7,B,0.0,7,B,0.0,7,0.3457459036417605,Low
357,id5314,The harder a child pushes a toy car, B,1.0,9, B,1.0,9,B,1.0,9, B,1.0,9, B,1.0,9, A,0.0,9, B,1.0,9,B,1.0,9,D,0.0,9,B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9, B,1.0,9, A,0.0,9, B,1.0,9,B,1.0,9, A,0.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,B,1.0,9, B,1.0,9,B,1.0,9, B,1.0,9, B,1.0,9,B,1.0,9,B,1.0,9,0.3457459036417605,Low
